pairing_id,session_id,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28,question29,question30,question31,question32,question33,question34,question35,question36,total_wai_task,total_wai_bond,total_wai_goal,composite_wai
10,3,Never,Always,Never,Never,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Always,Always,Never,Always,Always,Always,Always,Never,Always,Never,Very Often,Never,Always,Never,Never,Never,Never,Always,Always,77,73,72,222
10,4,Never,Always,Never,Sometimes,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Always,Always,Never,Always,Always,Always,Always,Rarely,Always,Never,Often,Never,Always,Never,Very Often,Never,Never,Always,Always,80,74,78,232
11,1,Occasionally,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Very Often,Sometimes,Often,Always,Sometimes,Occasionally,Never,Sometimes,Very Often,Very Often,Occasionally,Rarely,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,44,48,31,123
11,2,Often,Never,Sometimes,Never,Rarely,Never,Occasionally,Sometimes,Often,Always,Very Often,Very Often,Very Often,Rarely,Often,Never,Sometimes,Always,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Often,Sometimes,Never,Sometimes,34,43,22,99
11,3,Very Often,Never,Often,Never,Never,Rarely,Often,Occasionally,Very Often,Always,Always,Very Often,Rarely,Rarely,Often,Never,Sometimes,Sometimes,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Often,Never,Rarely,21,29,20,70
12,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,12,54
14,1,Often,Never,Always,Rarely,Rarely,Never,Sometimes,Sometimes,Often,Very Often,Often,Very Often,Rarely,Occasionally,Occasionally,Never,Very Often,Often,Occasionally,Never,Never,Never,Rarely,Never,Never,Rarely,Always,Never,Never,Never,Very Often,Never,Often,Always,Never,Often,30,43,18,91
15,1,Always,Never,Always,Never,Never,Never,Very Often,Rarely,Always,Always,Always,Always,Never,Rarely,Very Often,Never,Occasionally,Often,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Very Often,Always,Never,Rarely,19,30,13,62
16,1,Often,Never,Always,Never,Never,Never,Rarely,Sometimes,Very Often,Often,Always,Very Often,Never,Never,Often,Never,Often,Very Often,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Very Often,Never,Never,Never,Always,Never,Rarely,Always,Never,Often,29,44,17,90
18,1,Sometimes,Never,Always,Never,Rarely,Occasionally,Sometimes,Sometimes,Very Often,Sometimes,Always,Often,Sometimes,Rarely,Often,Never,Often,Often,Very Often,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Often,Often,Never,Never,Always,Rarely,Often,Very Often,Never,Often,26,47,25,98
18,2,Always,Never,Always,Never,Never,Never,Very Often,Rarely,Always,Always,Always,Always,Rarely,Never,Very Often,Never,Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Rarely,19,23,12,54
19,1,Never,Always,Rarely,Very Often,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Always,Always,Never,Very Often,Always,Very Often,Always,Always,Very Often,Never,Often,Never,Always,Never,Always,Never,Never,Always,Very Often,82,69,83,234
19,2,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Never,Always,Very Often,84,72,84,240
19,3,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,72,84,240
19,4,Never,Always,Never,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Very Often,Never,Always,Never,Always,Never,Never,Always,Very Often,84,72,84,240
20,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Never,12,24,12,48
22,1,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Never,Always,Never,Rarely,Always,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Always,Always,Never,Never,30,25,18,73
23,1,Often,Never,Very Often,Never,Rarely,Rarely,Rarely,Never,Sometimes,Always,Very Often,Very Often,Always,Never,Often,Never,Never,Always,Rarely,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Often,Sometimes,Never,Never,35,22,21,78
24,1,Very Often,Never,Occasionally,Never,Never,Never,Rarely,Rarely,Always,Always,Always,Always,Rarely,Never,Always,Never,Occasionally,Very Often,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Very Often,Never,Never,Rarely,24,26,22,72
26,1,Very Often,Never,Always,Never,Never,Never,Very Often,Never,Always,Sometimes,Always,Always,Never,Never,Very Often,Never,Never,Rarely,Rarely,Always,Never,Never,Never,Never,Never,Never,Often,Never,Sometimes,Never,Always,Never,Very Often,Always,Never,Never,16,23,17,56
27,1,Very Often,Never,Always,Never,Never,Never,Very Often,Occasionally,Always,Always,Always,Very Often,Never,Never,Often,Never,Sometimes,Always,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Very Often,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Sometimes,22,30,14,66
28,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,18,30,12,60
30,1,Never,Always,Sometimes,Always,Always,Always,Never,Very Often,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Never,Always,Never,Never,Always,Always,84,71,81,236
30,2,Never,Always,Very Often,Always,Always,Always,Rarely,Very Often,Never,Never,Never,Never,Very Often,Always,Never,Often,Always,Always,Always,Never,Often,Always,Very Often,Always,Always,Very Often,Never,Always,Never,Very Often,Occasionally,Always,Rarely,Sometimes,Always,Always,77,67,75,219
30,3,Never,Always,Sometimes,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Always,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Always,Sometimes,Always,Never,Sometimes,Always,Always,80,72,78,230
30,4,Never,Always,Sometimes,Always,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Very Often,Always,Very Often,Always,Never,Always,Always,Always,Always,Always,Always,Never,Always,Never,Very Often,Sometimes,Always,Never,Sometimes,Always,Always,79,72,77,228
31,1,Always,Never,Always,Never,Never,Never,Often,Rarely,Always,Often,Always,Always,Never,Always,Always,Never,Sometimes,Never,Never,Often,Never,Never,Never,Never,Never,Never,Always,Sometimes,Rarely,Never,Always,Never,Very Often,Always,Never,Rarely,15,23,20,58
32,1,Always,Never,Always,Never,Never,Never,Very Often,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,13,30,18,61
34,1,Often,Never,Never,Never,Never,Never,Often,Never,Often,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Never,26,20,20,66
34,2,Often,Never,Never,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Very Often,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Always,Never,Never,Never,29,21,30,80
34,3,Always,Never,Never,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,29,18,30,77
34,4,Always,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,29,18,29,76
35,1,Always,Never,Very Often,Never,Never,Never,Always,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Very Often,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,23,18,25,66
35,2,Always,Never,Always,Never,Never,Always,Never,Never,Never,Always,Always,Never,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Never,Never,Never,30,24,36,90
35,3,Always,Never,Sometimes,Never,Never,Always,Often,Rarely,Never,Always,Always,Very Often,Always,Never,Always,Never,Never,Always,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Always,Rarely,Never,Never,26,25,33,84
35,4,Always,Never,Always,Never,Never,Always,Never,Never,Never,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Always,Never,Never,Never,30,22,30,82
36,1,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Always,Never,Never,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,24,24,30,78
38,1,Always,Never,Always,Never,Never,Never,Very Often,Rarely,Always,Always,Always,Always,Rarely,Never,Always,Never,Rarely,Often,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Always,Always,Never,Never,18,24,12,54
38,2,Always,Never,Always,Never,Never,Never,Rarely,Never,Often,Always,Always,Always,Very Often,Never,Always,Never,Never,Always,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,28,25,14,67
39,1,Very Often,Never,Rarely,Never,Never,Never,Very Often,Rarely,Always,Often,Always,Very Often,Never,Never,Often,Never,Rarely,Rarely,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Very Often,Never,Sometimes,Never,Always,Never,Very Often,Very Often,Never,Rarely,17,29,22,68
39,2,Very Often,Never,Often,Never,Rarely,Never,Often,Occasionally,Always,Very Often,Always,Very Often,Never,Never,Very Often,Never,Sometimes,Rarely,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Very Often,Always,Never,Sometimes,17,31,16,64
39,3,Very Often,Never,Often,Never,Never,Never,Very Often,Rarely,Always,Often,Always,Very Often,Rarely,Never,Always,Never,Occasionally,Sometimes,Never,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Very Often,Never,Never,Rarely,18,29,23,70
39,4,Very Often,Never,Often,Never,Never,Never,Always,Occasionally,Always,Always,Always,Always,Never,Never,Always,Never,Rarely,Sometimes,Never,Very Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Always,Never,Rarely,15,25,14,54
40,1,Always,Never,Often,Never,Never,Never,Sometimes,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Rarely,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Very Often,Always,Never,Never,17,19,14,50
40,2,Always,Never,Never,Never,Never,Never,Never,Rarely,Always,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Never,30,20,24,74
42,1,Always,Never,Always,Never,Never,Rarely,Often,Never,Often,Always,Always,Always,Never,Always,Always,Never,Never,Rarely,Never,Always,Never,Never,Never,Never,Never,Never,Always,Sometimes,Never,Never,Always,Never,Always,Always,Never,Never,15,15,21,51
43,1,Always,Never,Always,Never,Never,Never,Very Often,Rarely,Always,Always,Always,Always,Never,Rarely,Always,Never,Occasionally,Always,Never,Very Often,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Very Often,Always,Never,Rarely,20,27,13,60
44,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,16,30,12,58
46,1,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Always,Always,Always,Never,Never,Always,Never,Never,Always,Rarely,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Rarely,Never,Often,Never,Never,Never,31,26,30,87
46,2,Never,Never,Never,Never,Always,Always,Never,Never,Never,Always,Always,Never,Always,Never,Always,Never,Never,Always,Rarely,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Rarely,Never,Often,Never,Never,Never,37,31,42,110
46,3,Never,Never,Never,Never,Very Often,Always,Never,Never,Never,Always,Never,Never,Always,Always,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,53,35,48,136
46,4,Never,Never,Never,Never,Always,Always,Never,Never,Never,Always,Never,Never,Always,Never,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Often,Never,52,36,42,130
47,1,Often,Never,Never,Never,Never,Never,Sometimes,Occasionally,Very Often,Always,Always,Always,Never,Never,Always,Never,Sometimes,Rarely,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Sometimes,Never,Always,Never,Very Often,Always,Never,Rarely,17,33,19,69
48,1,Very Often,Never,Never,Never,Never,Never,Never,Rarely,Never,Always,Always,Always,Never,Never,Always,Never,Rarely,Rarely,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Never,Never,Never,20,21,30,71
49,1,Always,Never,Often,Never,Always,Never,Never,Never,Never,Never,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,26,30,38,94
51,1,Sometimes,Never,Always,Never,Rarely,Never,Never,Rarely,Occasionally,Very Often,Often,Very Often,Always,Rarely,Sometimes,Never,Sometimes,Always,Occasionally,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Often,Never,Often,Never,Never,Rarely,39,32,25,96
51,2,Often,Never,Always,Never,Rarely,Never,Rarely,Occasionally,Never,Always,Always,Very Often,Sometimes,Never,Very Often,Never,Sometimes,Often,Occasionally,Often,Never,Never,Rarely,Never,Never,Rarely,Always,Never,Never,Never,Very Often,Never,Often,Never,Never,Sometimes,28,35,25,88
51,3,Often,Never,Always,Never,Rarely,Never,Never,Rarely,Never,Always,Always,Always,Always,Never,Always,Never,Rarely,Always,Sometimes,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Often,Never,Never,Rarely,32,30,24,86
52,1,Always,Never,Very Often,Never,Rarely,Never,Never,Never,Occasionally,Often,Always,Very Often,Never,Never,Often,Never,Never,Very Often,Rarely,Always,Never,Never,Never,Never,Never,Never,Very Often,Never,Often,Never,Always,Never,Rarely,Never,Never,Never,30,24,27,81
52,2,Always,Never,Often,Never,Never,Never,Rarely,Never,Always,Very Often,Always,Always,Never,Never,Very Often,Never,Never,Sometimes,Never,Always,Never,Never,Never,Never,Never,Never,Very Often,Rarely,Rarely,Never,Always,Never,Often,Rarely,Never,Never,23,18,21,62
52,3,Always,Never,Never,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Often,Never,Always,Never,Always,Never,Never,Never,29,22,24,75
52,4,Always,Never,Always,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,Rarely,Never,Always,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Always,Never,Never,Never,24,19,18,61
53,1,Sometimes,Never,Always,Never,Sometimes,Never,Rarely,Rarely,Never,Always,Always,Often,Never,Never,Sometimes,Never,Sometimes,Often,Occasionally,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Rarely,Never,Often,Never,Often,Never,Never,Sometimes,28,38,26,92
53,2,Very Often,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Always,Always,Very Often,Always,Never,Very Often,Never,Occasionally,Always,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Very Often,Never,Never,Occasionally,32,31,31,94
53,3,Often,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Always,Always,Always,Always,Never,Often,Never,Rarely,Always,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Rarely,32,28,30,90
53,4,Often,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Always,Always,Always,Always,Never,Often,Never,Rarely,Very Often,Sometimes,Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Always,Never,Never,Rarely,32,29,30,91
54,1,Always,Never,Always,Never,Never,Never,Never,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Rarely,Always,Never,Always,Never,Always,Rarely,Never,Never,18,29,17,64
56,1,Always,Never,Always,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,Always,Never,Always,Never,Never,Always,Never,Often,Never,Never,Never,Never,Never,Never,Always,Never,Rarely,Never,Always,Never,Always,Rarely,Never,Never,29,21,17,67
57,1,Very Often,Never,Always,Never,Never,Never,Rarely,Never,Rarely,Always,Always,Always,Never,Never,Very Often,Never,Never,Always,Never,Always,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Rarely,Never,Never,25,19,22,66
58,1,Often,Never,Never,Never,Never,Rarely,Often,Occasionally,Very Often,Often,Always,Very Often,Rarely,Never,Very Often,Never,Often,Very Often,Sometimes,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Very Often,Never,Often,22,36,24,82
58,2,Often,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Always,Always,Always,Always,Never,Always,Never,Sometimes,Always,Rarely,Often,Never,Never,Never,Never,Never,Never,Always,Never,Never,Never,Always,Never,Very Often,Never,Never,Occasionally,30,29,30,89
58,3,Very Often,Never,Never,Never,Never,Never,Never,Rarely,Never,Always,Always,Always,Always,Never,Always,Never,Rarely,Always,Never,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Always,Never,Never,Rarely,30,25,30,85
59,1,Very Often,Never,Always,Never,Never,Never,Rarely,Sometimes,Always,Always,Always,Always,Never,Rarely,Very Often,Never,Sometimes,Always,Never,Often,Never,Never,Occasionally,Never,Never,Never,Rarely,Never,Never,Never,Always,Never,Always,Always,Never,Often,24,33,18,75
61,1,Often,Never,Never,Never,Never,Rarely,Rarely,Occasionally,Sometimes,Always,Always,Very Often,Sometimes,Never,Very Often,Never,Often,Very Often,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Always,Never,Often,Rarely,Never,Sometimes,28,34,28,90
62,1,Rarely,Never,Never,Never,Sometimes,Often,Never,Often,Never,Often,Always,Sometimes,Always,Never,Always,Never,Often,Always,Very Often,Never,Never,Never,Often,Never,Never,Sometimes,Always,Never,Never,Never,Occasionally,Never,Often,Rarely,Never,Very Often,36,57,38,131
63,1,Rarely,Never,Never,Never,Often,Sometimes,Never,Often,Rarely,Never,Sometimes,Never,Very Often,Never,Often,Never,Often,Always,Very Often,Never,Rarely,Never,Often,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Always,Rarely,Very Often,46,59,44,149
63,2,Occasionally,Never,Never,Never,Often,Often,Never,Often,Sometimes,Sometimes,Very Often,Rarely,Always,Never,Very Often,Never,Often,Always,Always,Never,Rarely,Never,Often,Never,Never,Often,Very Often,Never,Never,Never,Occasionally,Never,Sometimes,Rarely,Never,Often,39,59,39,137
63,3,Often,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Often,Always,Always,Very Often,Always,Never,Very Often,Never,Often,Always,Often,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Very Often,Never,Often,Rarely,Never,Often,33,43,27,103
64,1,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Occasionally,Very Often,Often,Very Often,Often,Never,Very Often,Never,Often,Very Often,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Occasionally,Often,Never,Often,33,45,25,103
64,2,Sometimes,Never,Rarely,Never,Rarely,Never,Often,Occasionally,Often,Always,Very Often,Very Often,Rarely,Never,Very Often,Never,Sometimes,Often,Rarely,Often,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Often,Very Often,Never,Rarely,24,32,21,77
65,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,12,54
67,1,Often,Rarely,Always,Rarely,Sometimes,Often,Very Often,Often,Often,Often,Very Often,Sometimes,Occasionally,Always,Often,Never,Often,Occasionally,Sometimes,Never,Rarely,Occasionally,Often,Very Often,Never,Rarely,Rarely,Rarely,Never,Never,Always,Often,Very Often,Always,Never,Often,28,49,40,117
68,1,Often,Never,Always,Never,Never,Rarely,Often,Sometimes,Very Often,Very Often,Always,Very Often,Rarely,Rarely,Often,Never,Often,Often,Sometimes,Often,Never,Never,Sometimes,Never,Never,Never,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Very Often,22,40,18,80
69,1,Often,Never,Very Often,Never,Rarely,Often,Very Often,Sometimes,Often,Often,Very Often,Sometimes,Never,Always,Sometimes,Never,Often,Never,Often,Never,Never,Never,Sometimes,Occasionally,Never,Rarely,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Always,20,48,31,99
69,2,Very Often,Never,Very Often,Never,Never,Rarely,Very Often,Sometimes,Very Often,Often,Always,Often,Rarely,Very Often,Sometimes,Never,Often,Rarely,Occasionally,Sometimes,Never,Rarely,Often,Occasionally,Never,Rarely,Very Often,Sometimes,Never,Never,Always,Rarely,Very Often,Very Often,Never,Always,21,39,28,88
70,1,Always,Never,Always,Never,Never,Never,Always,Rarely,Always,Always,Always,Always,Never,Never,Always,Never,Rarely,Sometimes,Never,Often,Never,Never,Never,Never,Never,Never,Always,Rarely,Never,Never,Always,Never,Always,Always,Never,Never,15,21,12,48
