pairing_id,session_id,relationship,goals_and_topics,approach_or_method,overall
118,2,0.0,0.0,0.0,0.0
119,1,0.0,0.0,0.0,0.0
121,1,1.5,2.5,0.5,1.0
122,1,1.5,3.0,0.5,1.0
122,2,0.5,1.0,0.0,0.0
123,1,1.5,0.8,1.1,0.5
123,2,2.0,1.0,0.5,0.8
123,3,1.8,1.2,0.5,0.8
123,4,0.5,0.0,0.2,0.1
124,1,2.5,3.0,1.2,1.5
124,2,0.5,1.2,0.2,0.8
125,1,0.0,0.5,0.0,0.0
127,1,1.0,4.5,0.5,0.8
127,2,0.0,0.2,0.0,0.0
128,1,0.8,2.5,0.2,0.4
129,1,0.8,1.5,0.2,0.5
130,1,1.5,3.0,0.5,1.0
131,1,0.0,0.0,0.0,0.0
133,1,2.5,3.0,1.5,2.0
133,2,9.5,10.0,9.2,9.6
133,3,9.5,10.0,9.0,9.5
134,1,7.8,7.2,5.5,6.5
134,2,2.5,1.8,1.2,0.8
135,1,8.5,6.0,4.5,3.0
135,2,3.5,2.0,2.5,2.0
136,1,6.5,2.5,1.8,2.2
136,2,2.0,1.0,1.5,1.2
137,1,0.0,0.0,0.0,0.0
139,1,2.5,9.0,1.5,2.0
140,1,2.5,4.0,1.2,1.0
141,1,4.0,7.5,1.5,2.0
141,2,1.2,0.8,0.5,0.7
142,1,2.1,4.5,1.2,1.8
142,2,0.5,1.2,0.0,0.2
142,3,0.1,1.5,0.0,0.2
143,1,0.0,0.0,0.0,0.0
145,1,10.0,10.0,10.0,10.0
145,2,10.0,10.0,10.0,10.0
145,3,10.0,10.0,10.0,10.0
145,4,10.0,10.0,10.0,10.0
146,1,9.5,10.0,9.8,9.7
146,2,0.2,2.5,0.1,0.0
147,1,2.4,1.8,1.1,0.9
147,2,0.8,2.2,0.1,0.5
148,1,9.8,10.0,9.7,10.0
148,2,9.8,10.0,9.7,9.9
148,3,10.0,10.0,10.0,10.0
148,4,9.8,10.0,9.7,9.8
149,1,0.0,0.0,0.0,0.0
151,1,3.5,5.0,2.0,2.5
151,2,4.5,2.0,1.5,2.5
151,3,2.5,1.5,1.0,1.8
152,1,0.0,0.0,0.0,0.0
153,1,9.8,10.0,9.7,9.9
153,2,9.8,10.0,9.7,9.9
153,3,10.0,10.0,10.0,10.0
153,4,10.0,10.0,10.0,10.0
154,1,2.5,1.5,1.0,0.5
155,1,1.2,2.1,0.8,1.4
156,1,0.0,0.0,0.0,0.0
157,1,9.8,10.0,9.9,10.0
157,2,1.5,4.0,0.5,1.0
158,1,9.5,10.0,9.7,9.8
158,2,2.5,1.0,0.5,0.8
159,1,10.0,10.0,10.0,10.0
159,2,10.0,10.0,10.0,10.0
159,3,10.0,10.0,10.0,10.0
159,4,10.0,10.0,10.0,10.0
160,1,9.8,10.0,10.0,9.9
160,2,1.5,0.5,1.0,0.8
161,1,1.5,0.5,1.0,0.8
161,2,0.5,0.0,0.2,0.1
162,1,9.8,10.0,9.2,9.6
162,2,9.5,9.0,9.8,10.0
162,3,10.0,10.0,10.0,10.0
162,4,10.0,10.0,10.0,10.0
163,1,0.0,0.0,0.0,0.0
164,1,1.5,5.0,0.5,1.0
165,1,4.8,8.2,1.7,2.3
166,1,0.0,0.0,0.0,0.0
167,1,1.5,0.5,0.2,0.8
168,1,2.8,5.5,1.7,2.1
169,1,1.5,4.0,1.0,0.5
170,1,9.5,10.0,7.0,5.5
170,2,9.5,9.8,1.2,0.5
170,3,1.5,2.0,0.5,1.0
171,1,1.5,9.2,0.8,1.4
171,2,1.2,7.8,0.5,1.0
172,1,0.8,2.1,0.2,0.4
173,1,0.5,0.0,0.0,0.2
173,2,0.5,0.0,0.0,0.2
173,3,0.5,0.0,0.0,0.0
173,4,0.0,0.0,0.0,0.0
174,1,0.0,0.0,0.0,0.0
175,1,1.8,8.5,0.5,1.2
175,2,0.8,1.5,0.2,0.5
175,3,1.5,3.0,0.5,1.0
175,4,0.0,0.0,0.0,0.0
176,1,0.8,2.5,0.2,0.5
177,1,10.0,10.0,10.0,10.0
177,2,10.0,10.0,10.0,10.0
177,3,10.0,10.0,10.0,10.0
177,4,10.0,10.0,10.0,10.0
178,1,2.1,1.4,0.8,1.1
178,2,0.8,1.5,0.2,0.9
178,3,1.5,1.1,0.4,0.8
179,1,1.5,2.5,0.5,1.0
179,2,1.5,1.0,0.5,0.8
180,1,0.0,0.0,0.0,0.0
