pairing_id,session_id,relationship,goals_and_topics,approach_or_method,overall,total
159,3,10.0,10.0,10.0,10.0,40.0
159,4,10.0,10.0,10.0,10.0,40.0
160,1,9.8,10.0,10.0,9.9,39.7
160,2,1.5,0.5,1.0,0.8,3.8
161,1,1.5,0.5,1.0,0.8,3.8
161,2,0.5,0.0,0.2,0.1,0.8
162,1,9.8,10.0,9.2,9.6,38.6
162,2,9.5,9.0,9.8,10.0,38.3
162,3,10.0,10.0,10.0,10.0,40.0
162,4,10.0,10.0,10.0,10.0,40.0
163,1,0.0,0.0,0.0,0.0,0.0
164,1,1.5,5.0,0.5,1.0,8.0
165,1,4.8,8.2,1.7,2.3,17.0
166,1,0.0,0.0,0.0,0.0,0.0
167,1,1.5,0.5,0.2,0.8,3.0
168,1,2.8,5.5,1.7,2.1,12.1
169,1,1.5,4.0,1.0,0.5,7.0
170,1,9.5,10.0,7.0,5.5,32.0
170,2,9.5,9.8,1.2,0.5,21.0
170,3,1.5,2.0,0.5,1.0,5.0
171,1,1.5,9.2,0.8,1.4,12.9
171,2,1.2,7.8,0.5,1.0,10.5
172,1,0.8,2.1,0.2,0.4,3.5
173,1,0.5,0.0,0.0,0.2,0.7
173,2,0.5,0.0,0.0,0.2,0.7
173,3,0.5,0.0,0.0,0.0,0.5
173,4,0.0,0.0,0.0,0.0,0.0
174,1,0.0,0.0,0.0,0.0,0.0
175,1,1.8,8.5,0.5,1.2,12.0
175,2,0.8,1.5,0.2,0.5,3.0
175,3,1.5,3.0,0.5,1.0,6.0
175,4,0.0,0.0,0.0,0.0,0.0
176,1,0.8,2.5,0.2,0.5,4.0
177,1,10.0,10.0,10.0,10.0,40.0
177,2,10.0,10.0,10.0,10.0,40.0
177,3,10.0,10.0,10.0,10.0,40.0
177,4,10.0,10.0,10.0,10.0,40.0
178,1,2.1,1.4,0.8,1.1,5.4
178,2,0.8,1.5,0.2,0.9,3.4
178,3,1.5,1.1,0.4,0.8,3.8
179,1,1.5,2.5,0.5,1.0,5.5
179,2,1.5,1.0,0.5,0.8,3.8
180,1,0.0,0.0,0.0,0.0,0.0
